,num_topics,scenario_r2,2,3,4,5,6,7
515,6,0.03830706348631896,026,021,175,001,109,123
516,6,0.03703018554415494,062,058,140,017,079,066
517,6,0.01764648306292249,078,183,092,026,054,014
518,6,0.018656575341922665,057,080,167,034,047,192
519,6,0.017531787952126177,166,011,046,189,148,193
520,6,0.012069600772467437,194,035,026,133,060,089
521,6,0.013514701891473413,040,057,082,127,092,004
522,6,0.0210587069223771,056,081,037,150,140,070
523,6,0.027546632677668548,177,082,055,133,022,171
524,6,0.021421447654743297,165,066,012,041,118,082
525,6,0.004689986611303931,167,045,007,114,071,148
526,6,0.04764829724480424,178,005,047,198,157,064
527,6,0.013540676428390963,026,175,018,085,143,177
528,6,0.0164448559702437,075,096,065,199,108,110
529,6,0.02446205555564729,163,044,085,159,026,058
530,6,0.023983100850169303,057,036,079,198,024,015
531,6,0.00930387746274608,170,040,192,000,190,198
532,6,0.04818957467176521,116,148,151,155,011,037
533,6,0.011148994837379744,161,117,132,185,068,175
534,6,0.02137466962610257,011,097,087,187,184,021
535,6,0.012355337389010845,121,187,026,105,196,183
536,6,0.02244744930978848,105,109,166,138,176,103
537,6,0.044433104152832414,168,173,000,037,159,163
538,6,0.007132198850325344,171,004,175,121,110,156
539,6,0.0248573816249964,097,142,104,089,098,096
540,6,0.021577732437548236,117,140,133,041,132,022
541,6,0.011116817976038473,171,021,160,016,169,092
542,6,0.017807116875630746,088,005,019,199,006,102
543,6,0.019346200347474474,183,062,063,163,000,014
544,6,0.03988582015483011,059,072,115,019,195,023
545,6,0.024218439649753898,053,022,040,023,076,116
546,6,0.032620704186592575,118,183,066,141,101,166
547,6,0.02371515477855446,084,125,166,026,064,062
548,6,0.01881041758047608,023,047,059,024,172,104
549,6,0.02740067764796761,101,116,177,087,163,081
550,6,0.034597502739299624,088,140,054,181,053,066
551,6,0.00987560792489417,054,196,108,090,068,140
